Innings_Player,Innings_Runs_Scored,Innings_Runs_Scored_Num,Innings_Minutes_Batted,Innings_Batted_Flag,Innings_Not_Out_Flag,Innings_Balls_Faced,Innings_Boundary_Fours,Innings_Boundary_Sixes,Innings_Batting_Strike_Rate,Innings_Number,Opposition,Ground,Match_Date,Country,50's,100's,Innings_Runs_Scored_Buckets,Result,Margin,Match,Home/Away,Match_Month,Match_Year,Match_Period,Matches,Pred_Result
CJ Jordan,6*,6,1,1.0,1.0,1,0,1,600.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
SW Billings,6,6,17,1.0,0.0,8,0,0,75.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
JC Buttler,2,2,7,1.0,0.0,5,0,0,40.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
AD Hales,1,1,10,1.0,0.0,4,0,0,25.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Lost
EJG Morgan,80*,80,75,1.0,1.0,46,4,6,173.91,1,v New Zealand,Hamilton,2018/02/18,England,1.0,0.0,50-99,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
DJ Malan,53,53,41,1.0,0.0,36,2,5,147.22,1,v New Zealand,Hamilton,2018/02/18,England,1.0,0.0,50-99,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
JJ Roy,21,21,14,1.0,0.0,13,3,1,161.53,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
DJ Willey,10,10,5,1.0,0.0,5,2,0,200.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
LA Dawson,10,10,3,1.0,0.0,3,1,1,333.33,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
CJ Jordan,6*,6,1,1.0,1.0,1,0,1,600.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
SW Billings,6,6,17,1.0,0.0,8,0,0,75.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
JC Buttler,2,2,7,1.0,0.0,5,0,0,40.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
AD Hales,1,1,10,1.0,0.0,4,0,0,25.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Lost
JC Buttler,69,69,0,1.0,0.0,46,8,2,150.00,1,v India,Manchester,2018/07/03,England,1.0,0.0,50-99,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
JJ Roy,30,30,0,1.0,0.0,20,5,0,150.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
DJ Willey,29*,29,0,1.0,1.0,15,2,2,193.33,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
AD Hales,8,8,0,1.0,0.0,18,0,0,44.44,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
EJG Morgan,7,7,0,1.0,0.0,6,0,0,116.66,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
MM Ali,6,6,0,1.0,0.0,8,1,0,75.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
LE Plunkett,3*,3,0,1.0,1.0,4,0,0,75.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JM Bairstow,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JE Root,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
CJ Jordan,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JC Buttler,69,69,0,1.0,0.0,46,8,2,150.00,1,v India,Manchester,2018/07/03,England,1.0,0.0,50-99,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
JJ Roy,30,30,0,1.0,0.0,20,5,0,150.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
DJ Willey,29*,29,0,1.0,1.0,15,2,2,193.33,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
AD Hales,8,8,0,1.0,0.0,18,0,0,44.44,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
EJG Morgan,7,7,0,1.0,0.0,6,0,0,116.66,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
MM Ali,6,6,0,1.0,0.0,8,1,0,75.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
LE Plunkett,3*,3,0,1.0,1.0,4,0,0,75.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JM Bairstow,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JE Root,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
CJ Jordan,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JC Buttler,69,69,0,1.0,0.0,46,8,2,150.00,1,v India,Manchester,2018/07/03,England,1.0,0.0,50-99,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
JJ Roy,30,30,0,1.0,0.0,20,5,0,150.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
DJ Willey,29*,29,0,1.0,1.0,15,2,2,193.33,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
AD Hales,8,8,0,1.0,0.0,18,0,0,44.44,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
EJG Morgan,7,7,0,1.0,0.0,6,0,0,116.66,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
MM Ali,6,6,0,1.0,0.0,8,1,0,75.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
LE Plunkett,3*,3,0,1.0,1.0,4,0,0,75.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JM Bairstow,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JE Root,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
CJ Jordan,0,0,0,1.0,0.0,1,0,0,0.00,1,v India,Manchester,2018/07/03,England,0.0,0.0,0-49,Lost,8 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JJ Roy,69,69,0,1.0,0.0,36,4,6,191.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,1.0,0.0,50-99,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
MM Ali,27,27,0,1.0,0.0,11,1,3,245.45,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
BA Stokes,26,26,0,1.0,0.0,27,1,1,96.29,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JL Denly,20,20,0,1.0,0.0,17,3,0,117.64,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JC Buttler,13,13,0,1.0,0.0,7,3,0,185.71,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
EJG Morgan,11,11,0,1.0,0.0,10,2,0,110.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
LE Plunkett,7*,7,0,1.0,1.0,5,1,0,140.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
AU Rashid,5,5,0,1.0,0.0,3,1,0,166.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
AD Hales,4,4,0,1.0,0.0,3,1,0,133.33,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
CJ Jordan,2*,2,0,1.0,1.0,1,0,0,200.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JJ Roy,69,69,0,1.0,0.0,36,4,6,191.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,1.0,0.0,50-99,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
MM Ali,27,27,0,1.0,0.0,11,1,3,245.45,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
BA Stokes,26,26,0,1.0,0.0,27,1,1,96.29,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JL Denly,20,20,0,1.0,0.0,17,3,0,117.64,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JC Buttler,13,13,0,1.0,0.0,7,3,0,185.71,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
EJG Morgan,11,11,0,1.0,0.0,10,2,0,110.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
LE Plunkett,7*,7,0,1.0,1.0,5,1,0,140.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
AU Rashid,5,5,0,1.0,0.0,3,1,0,166.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
AD Hales,4,4,0,1.0,0.0,3,1,0,133.33,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
CJ Jordan,2*,2,0,1.0,1.0,1,0,0,200.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JJ Roy,69,69,0,1.0,0.0,36,4,6,191.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,1.0,0.0,50-99,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
MM Ali,27,27,0,1.0,0.0,11,1,3,245.45,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
BA Stokes,26,26,0,1.0,0.0,27,1,1,96.29,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JL Denly,20,20,0,1.0,0.0,17,3,0,117.64,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JC Buttler,13,13,0,1.0,0.0,7,3,0,185.71,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
EJG Morgan,11,11,0,1.0,0.0,10,2,0,110.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
LE Plunkett,7*,7,0,1.0,1.0,5,1,0,140.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
AU Rashid,5,5,0,1.0,0.0,3,1,0,166.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
AD Hales,4,4,0,1.0,0.0,3,1,0,133.33,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
CJ Jordan,2*,2,0,1.0,1.0,1,0,0,200.00,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,0.0,0.0,0-49,Won,30 runs,Sri Lanka v England,Away,Oct,2018,Oct 2018,1,Won
JJ Roy,67,67,0,1.0,0.0,31,4,7,216.12,1,v India,Bristol,2018/07/08,England,1.0,0.0,50-99,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
JC Buttler,34,34,0,1.0,0.0,21,7,0,161.90,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
AD Hales,30,30,0,1.0,0.0,24,3,2,125.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JM Bairstow,25,25,0,1.0,0.0,14,2,2,178.57,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
BA Stokes,14,14,0,1.0,0.0,10,2,0,140.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
LE Plunkett,9,9,0,1.0,0.0,4,0,1,225.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
EJG Morgan,6,6,0,1.0,0.0,9,0,0,66.66,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
AU Rashid,4*,4,0,1.0,1.0,3,1,0,133.33,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
CJ Jordan,3,3,0,1.0,0.0,3,0,0,100.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
DJ Willey,1,1,0,1.0,0.0,2,0,0,50.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JJ Roy,67,67,0,1.0,0.0,31,4,7,216.12,1,v India,Bristol,2018/07/08,England,1.0,0.0,50-99,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
JC Buttler,34,34,0,1.0,0.0,21,7,0,161.90,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
AD Hales,30,30,0,1.0,0.0,24,3,2,125.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JM Bairstow,25,25,0,1.0,0.0,14,2,2,178.57,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
BA Stokes,14,14,0,1.0,0.0,10,2,0,140.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
LE Plunkett,9,9,0,1.0,0.0,4,0,1,225.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
EJG Morgan,6,6,0,1.0,0.0,9,0,0,66.66,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
AU Rashid,4*,4,0,1.0,1.0,3,1,0,133.33,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
CJ Jordan,3,3,0,1.0,0.0,3,0,0,100.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
DJ Willey,1,1,0,1.0,0.0,2,0,0,50.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JJ Roy,67,67,0,1.0,0.0,31,4,7,216.12,1,v India,Bristol,2018/07/08,England,1.0,0.0,50-99,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Won
JC Buttler,34,34,0,1.0,0.0,21,7,0,161.90,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
AD Hales,30,30,0,1.0,0.0,24,3,2,125.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JM Bairstow,25,25,0,1.0,0.0,14,2,2,178.57,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
BA Stokes,14,14,0,1.0,0.0,10,2,0,140.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
LE Plunkett,9,9,0,1.0,0.0,4,0,1,225.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
EJG Morgan,6,6,0,1.0,0.0,9,0,0,66.66,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
AU Rashid,4*,4,0,1.0,1.0,3,1,0,133.33,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
CJ Jordan,3,3,0,1.0,0.0,3,0,0,100.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
DJ Willey,1,1,0,1.0,0.0,2,0,0,50.00,1,v India,Bristol,2018/07/08,England,0.0,0.0,0-49,Lost,7 wickets,England v India,Home,Jul,2018,Jul 2018,1,Lost
JC Buttler,61,61,0,1.0,0.0,30,6,5,203.33,1,v Australia,Birmingham,2018/06/27,England,1.0,0.0,50-99,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
AD Hales,49,49,0,1.0,0.0,24,5,2,204.16,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JJ Roy,44,44,0,1.0,0.0,26,6,0,169.23,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JE Root,35,35,0,1.0,0.0,24,4,0,145.83,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
EJG Morgan,15,15,0,1.0,0.0,8,1,1,187.50,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JM Bairstow,14*,14,0,1.0,1.0,8,0,2,175.00,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
MM Ali,0*,0,0,1.0,1.0,0,0,0,0,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JC Buttler,61,61,0,1.0,0.0,30,6,5,203.33,1,v Australia,Birmingham,2018/06/27,England,1.0,0.0,50-99,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
AD Hales,49,49,0,1.0,0.0,24,5,2,204.16,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JJ Roy,44,44,0,1.0,0.0,26,6,0,169.23,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JE Root,35,35,0,1.0,0.0,24,4,0,145.83,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
EJG Morgan,15,15,0,1.0,0.0,8,1,1,187.50,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
JM Bairstow,14*,14,0,1.0,1.0,8,0,2,175.00,1,v Australia,Birmingham,2018/06/27,England,0.0,0.0,0-49,Won,28 runs,England v Australia,Home,Jun,2018,Jun 2018,1,Won
