Innings_Player,Innings_Runs_Scored,Innings_Runs_Scored_Num,Innings_Minutes_Batted,Innings_Batted_Flag,Innings_Not_Out_Flag,Innings_Balls_Faced,Innings_Boundary_Fours,Innings_Boundary_Sixes,Innings_Batting_Strike_Rate,Innings_Number,Opposition,Ground,Match_Date,Country,50's,100's,Innings_Runs_Scored_Buckets,Result,Margin,Match,Home/Away,Match_Month,Match_Year,Match_Period,Matches,Pred_Result
DJ Malan,103*,103,79,1.0,1.0,51,9,6,201.96,1,v New Zealand,Napier,2019/11/08,England,0.0,1.0,100-149,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
EJG Morgan,91,91,59,1.0,0.0,41,7,7,221.95,1,v New Zealand,Napier,2019/11/08,England,1.0,0.0,50-99,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
T Banton,31,31,35,1.0,0.0,20,4,1,155.00,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Bairstow,8,8,15,1.0,0.0,9,1,0,88.88,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,0*,0,3,1.0,1.0,1,0,0,0.00,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,87,87,0,1.0,0.0,47,10,3,185.10,1,v West Indies,Basseterre,2019/03/08,England,1.0,0.0,50-99,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JE Root,55,55,0,1.0,0.0,40,7,0,137.50,1,v West Indies,Basseterre,2019/03/08,England,1.0,0.0,50-99,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
DJ Willey,13*,13,0,1.0,1.0,9,0,1,144.44,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JM Bairstow,12,12,0,1.0,0.0,8,2,0,150.00,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
AD Hales,8,8,0,1.0,0.0,7,0,1,114.28,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JL Denly,2,2,0,1.0,0.0,6,0,0,33.33,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
EJG Morgan,1,1,0,1.0,0.0,3,0,0,33.33,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
SW Billings,87,87,0,1.0,0.0,47,10,3,185.10,1,v West Indies,Basseterre,2019/03/08,England,1.0,0.0,50-99,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JE Root,55,55,0,1.0,0.0,40,7,0,137.50,1,v West Indies,Basseterre,2019/03/08,England,1.0,0.0,50-99,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
DJ Willey,13*,13,0,1.0,1.0,9,0,1,144.44,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JM Bairstow,12,12,0,1.0,0.0,8,2,0,150.00,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
AD Hales,8,8,0,1.0,0.0,7,0,1,114.28,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JL Denly,2,2,0,1.0,0.0,6,0,0,33.33,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
EJG Morgan,1,1,0,1.0,0.0,3,0,0,33.33,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
SW Billings,87,87,0,1.0,0.0,47,10,3,185.10,1,v West Indies,Basseterre,2019/03/08,England,1.0,0.0,50-99,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JE Root,55,55,0,1.0,0.0,40,7,0,137.50,1,v West Indies,Basseterre,2019/03/08,England,1.0,0.0,50-99,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
DJ Willey,13*,13,0,1.0,1.0,9,0,1,144.44,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JM Bairstow,12,12,0,1.0,0.0,8,2,0,150.00,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
AD Hales,8,8,0,1.0,0.0,7,0,1,114.28,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JL Denly,2,2,0,1.0,0.0,6,0,0,33.33,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
EJG Morgan,1,1,0,1.0,0.0,3,0,0,33.33,1,v West Indies,Basseterre,2019/03/08,England,0.0,0.0,0-49,Won,137 runs,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JM Bairstow,68,68,0,1.0,0.0,40,9,2,170.00,2,v West Indies,Gros Islet,2019/03/05,England,1.0,0.0,50-99,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JL Denly,30,30,0,1.0,0.0,29,4,0,103.44,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
SW Billings,18,18,0,1.0,0.0,16,1,0,112.50,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
AD Hales,11,11,0,1.0,0.0,5,1,1,220.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
EJG Morgan,8,8,0,1.0,0.0,16,1,0,50.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
TK Curran,2*,2,0,1.0,1.0,2,0,0,100.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
DJ Willey,1*,1,0,1.0,1.0,3,0,0,33.33,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JE Root,0,0,0,1.0,0.0,2,0,0,0.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JM Bairstow,68,68,0,1.0,0.0,40,9,2,170.00,2,v West Indies,Gros Islet,2019/03/05,England,1.0,0.0,50-99,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JL Denly,30,30,0,1.0,0.0,29,4,0,103.44,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
SW Billings,18,18,0,1.0,0.0,16,1,0,112.50,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
AD Hales,11,11,0,1.0,0.0,5,1,1,220.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
EJG Morgan,8,8,0,1.0,0.0,16,1,0,50.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
TK Curran,2*,2,0,1.0,1.0,2,0,0,100.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
DJ Willey,1*,1,0,1.0,1.0,3,0,0,33.33,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JE Root,0,0,0,1.0,0.0,2,0,0,0.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JM Bairstow,68,68,0,1.0,0.0,40,9,2,170.00,2,v West Indies,Gros Islet,2019/03/05,England,1.0,0.0,50-99,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Won
JL Denly,30,30,0,1.0,0.0,29,4,0,103.44,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
SW Billings,18,18,0,1.0,0.0,16,1,0,112.50,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
AD Hales,11,11,0,1.0,0.0,5,1,1,220.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
EJG Morgan,8,8,0,1.0,0.0,16,1,0,50.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
TK Curran,2*,2,0,1.0,1.0,2,0,0,100.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
DJ Willey,1*,1,0,1.0,1.0,3,0,0,33.33,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JE Root,0,0,0,1.0,0.0,2,0,0,0.00,2,v West Indies,Gros Islet,2019/03/05,England,0.0,0.0,0-49,Won,4 wickets,West Indies v England,Away,Mar,2019,Mar 2019,1,Lost
JM Vince,59,59,0,1.0,0.0,38,7,2,155.26,2,v New Zealand,Christchurch,2019/11/01,England,1.0,0.0,50-99,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Bairstow,35,35,0,1.0,0.0,28,5,1,125.00,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
EJG Morgan,34*,34,0,1.0,1.0,21,4,1,161.90,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,14*,14,0,1.0,1.0,11,2,0,127.27,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
DJ Malan,11,11,0,1.0,0.0,13,2,0,84.61,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
JM Vince,59,59,0,1.0,0.0,38,7,2,155.26,2,v New Zealand,Christchurch,2019/11/01,England,1.0,0.0,50-99,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Bairstow,35,35,0,1.0,0.0,28,5,1,125.00,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
EJG Morgan,34*,34,0,1.0,1.0,21,4,1,161.90,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,14*,14,0,1.0,1.0,11,2,0,127.27,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
DJ Malan,11,11,0,1.0,0.0,13,2,0,84.61,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
JM Vince,59,59,0,1.0,0.0,38,7,2,155.26,2,v New Zealand,Christchurch,2019/11/01,England,1.0,0.0,50-99,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Bairstow,35,35,0,1.0,0.0,28,5,1,125.00,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
EJG Morgan,34*,34,0,1.0,1.0,21,4,1,161.90,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,14*,14,0,1.0,1.0,11,2,0,127.27,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
DJ Malan,11,11,0,1.0,0.0,13,2,0,84.61,2,v New Zealand,Christchurch,2019/11/01,England,0.0,0.0,0-49,Won,7 wickets,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
EJG Morgan,57*,57,0,1.0,1.0,29,5,3,196.55,2,v Pakistan,Cardiff,2019/05/05,England,1.0,0.0,50-99,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JE Root,47,47,0,1.0,0.0,42,5,0,111.90,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JM Vince,36,36,0,1.0,0.0,27,3,1,133.33,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JL Denly,20*,20,0,1.0,1.0,12,2,1,166.66,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
BM Duckett,9,9,0,1.0,0.0,7,1,0,128.57,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
EJG Morgan,57*,57,0,1.0,1.0,29,5,3,196.55,2,v Pakistan,Cardiff,2019/05/05,England,1.0,0.0,50-99,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JE Root,47,47,0,1.0,0.0,42,5,0,111.90,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JM Vince,36,36,0,1.0,0.0,27,3,1,133.33,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JL Denly,20*,20,0,1.0,1.0,12,2,1,166.66,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
BM Duckett,9,9,0,1.0,0.0,7,1,0,128.57,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
EJG Morgan,57*,57,0,1.0,1.0,29,5,3,196.55,2,v Pakistan,Cardiff,2019/05/05,England,1.0,0.0,50-99,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JE Root,47,47,0,1.0,0.0,42,5,0,111.90,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JM Vince,36,36,0,1.0,0.0,27,3,1,133.33,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
JL Denly,20*,20,0,1.0,1.0,12,2,1,166.66,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
BM Duckett,9,9,0,1.0,0.0,7,1,0,128.57,2,v Pakistan,Cardiff,2019/05/05,England,0.0,0.0,0-49,Won,7 wickets,England v Pakistan,Home,May,2019,May 2019,1,Won
DJ Malan,55,55,42,1.0,0.0,34,8,1,161.76,2,v New Zealand,Nelson,2019/11/05,England,1.0,0.0,50-99,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Vince,49,49,62,1.0,0.0,39,4,1,125.64,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
T Banton,18,18,12,1.0,0.0,10,2,1,180.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
EJG Morgan,18,18,20,1.0,0.0,13,0,2,138.46,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
TK Curran,14*,14,11,1.0,1.0,10,0,1,140.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
S Mahmood,3*,3,9,1.0,1.0,4,0,0,75.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SM Curran,2,2,12,1.0,0.0,6,0,0,33.33,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SW Billings,1,1,4,1.0,0.0,2,0,0,50.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
L Gregory,0,0,3,1.0,0.0,2,0,0,0.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
DJ Malan,55,55,42,1.0,0.0,34,8,1,161.76,2,v New Zealand,Nelson,2019/11/05,England,1.0,0.0,50-99,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Vince,49,49,62,1.0,0.0,39,4,1,125.64,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
T Banton,18,18,12,1.0,0.0,10,2,1,180.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
EJG Morgan,18,18,20,1.0,0.0,13,0,2,138.46,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
TK Curran,14*,14,11,1.0,1.0,10,0,1,140.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
S Mahmood,3*,3,9,1.0,1.0,4,0,0,75.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SM Curran,2,2,12,1.0,0.0,6,0,0,33.33,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SW Billings,1,1,4,1.0,0.0,2,0,0,50.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
L Gregory,0,0,3,1.0,0.0,2,0,0,0.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
DJ Malan,55,55,42,1.0,0.0,34,8,1,161.76,2,v New Zealand,Nelson,2019/11/05,England,1.0,0.0,50-99,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Vince,49,49,62,1.0,0.0,39,4,1,125.64,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
T Banton,18,18,12,1.0,0.0,10,2,1,180.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
EJG Morgan,18,18,20,1.0,0.0,13,0,2,138.46,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
TK Curran,14*,14,11,1.0,1.0,10,0,1,140.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
S Mahmood,3*,3,9,1.0,1.0,4,0,0,75.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SM Curran,2,2,12,1.0,0.0,6,0,0,33.33,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SW Billings,1,1,4,1.0,0.0,2,0,0,50.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
L Gregory,0,0,3,1.0,0.0,2,0,0,0.00,2,v New Zealand,Nelson,2019/11/05,England,0.0,0.0,0-49,Lost,14 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
DJ Malan,39,39,57,1.0,0.0,29,2,2,134.48,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
CJ Jordan,36,36,16,1.0,0.0,19,3,3,189.47,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
EJG Morgan,32,32,16,1.0,0.0,17,3,3,188.23,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
L Gregory,15,15,25,1.0,0.0,15,0,1,100.00,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SM Curran,9,9,11,1.0,0.0,6,1,0,150.00,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
SW Billings,8,8,16,1.0,0.0,10,0,0,80.00,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
PR Brown,4*,4,9,1.0,1.0,9,0,0,44.44,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
AU Rashid,4,4,16,1.0,0.0,6,0,0,66.66,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
S Mahmood,4,4,2,1.0,0.0,3,1,0,133.33,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
JM Vince,1,1,6,1.0,0.0,4,0,0,25.00,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
JM Bairstow,0,0,1,1.0,0.0,1,0,0,0.00,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
DJ Malan,39,39,57,1.0,0.0,29,2,2,134.48,2,v New Zealand,Wellington,2019/11/03,England,0.0,0.0,0-49,Lost,21 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Lost
